SAMINATURA BINEFAR;;;;;;;;;;;;;;;;;;;;;;
ARTICULOS GENERAL;;;;;;;;;;;;;;;;;;;;;;

Codigo;Referencia;Articulo;Medida;IVA;;Seccion;Tipo;;V;C;S;F
1325;1325;ARTICULO 1325;UNIDADES;10%;;;NORMAL;;V;C;S; 
1333;1333;ARTICULO 1333;UNIDADES;10%;;;NORMAL;;V;C;S; 
1373;1373;ARTICULO 1373;UNIDADES;10%;;;NORMAL;;V;C;S; 
1449;1449;ARTICULO 1449;UNIDADES;10%;;;NORMAL;;V;C;S; 
1457;1457;ARTICULO 1457;UNIDADES;10%;;;NORMAL;;V;C;S; 
1607;1607;ARTICULO 1607;UNIDADES;10%;;;NORMAL;;V;C;S; 
1629;1629;ARTICULO 1629;UNIDADES;10%;;;NORMAL;;V; ; ; 
1657;1657;ARTICULO 1657;UNIDADES;10%;;;NORMAL;;V;C;S; 
1697;1697;ARTICULO 16978423903063828;UNIDADES;10%;;;NORMAL;;V;C;S; 
1701;1701;ARTICULO 1701;UNIDADES;10%;;;NORMAL;;V;C;S; 
1788;1788;ARTICULO 1788;UNIDADES;10%;;;NORMAL;;V;C;S; 
1803;1803;ARTICULO 1803;UNIDADES;10%;;;NORMAL;;V;C;S; 
1804;1804;ARTICULO 1804;UNIDADES;4%;;;NORMAL;;V;C;S; 
1821;1821;ARTICULO 1821;UNIDADES;10%;;;NORMAL;;V;C;S; 
1876;1876;ARTICULO 1876;UNIDADES;10%;;;NORMAL;;V;C;S; 
1877;1877;ARTICULO 1877;UNIDADES;10%;;;NORMAL;;V;C;S; 
1901;1901;ARTICULO 1901;UNIDADES;10%;;;NORMAL;;V;C;S; 
1902;1902;ARTICULO 1902;UNIDADES;10%;;;NORMAL;;V;C;S; 
1922;1922;ARTICULO 1922;UNIDADES;10%;;;NORMAL;;V;C;S; 
1925;1925;ARTICULO 1925;UNIDADES;10%;;;NORMAL;;V;C;S; 
1926;1926;ARTICULO 1926;UNIDADES;10%;;;NORMAL;;V;C;S; 
1943;1943;ARTICULO 1943;UNIDADES;2%;;;NORMAL;;V;C;S; 
1960;1960;ARTICULO 1960;UNIDADES;10%;;;NORMAL;;V;C;S; 
1971;1971;ARTICULO 1971;UNIDADES;10%;;;NORMAL;;V;C;S; 
2006;2006;ARTICULO 2006;UNIDADES;0%;;;NORMAL;;V;C;S; 

