SAMINATURA BINEFAR;;;;;;;;;;;
ARTICULOS - PROVEEDOR;;;;;;;;;;;

DEPORTE;;
;;;;;;;;;;;

COSMETICA;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
1262;ACEITE DE RECINO 100ml;;10009- faire;;2,00;4,45;;0;;
;;;;;;;;;;;
1261;ACEITE DE RECINO 50ML;;10009- faire;;2,00;2,95;;0;;
;;;;;;;;;;;

NUTRICION;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
842;ACEITE DE SEMILLAS DECAÑAMO;;25- NUTRICIONSANTE;;6,00;5,46;;20;;
;;;;;;;;;;;

ALIMENTACION;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
1039;ACEITE DE SESAMO;;7- BIOCOP;;6,00;9,20;;15;;
;;;;;;;;;;;

TODAS;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
2366;aceite de sesamo negro;;3- FELIUBADALO;;1,00;13,03;;0;;
;;;;;;;;;;;
1968;ACEITE DE ZANAHORIA;;10009- faire;;4,00;3,70;;0;;
;;;;;;;;;;;

COSMETICA;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
712;ACEITE FACIAL ELIXIR;;21-NATURAKOSMETIC;;1,00;10,25;;100;;
;;;;;;;;;;;
664;ACEITE LABIAL;;21-NATURAKOSMETIC;;3,00;5,77;;0;;
;;;;;;;;;;;

TODAS;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
2975;ACEITE MEJORANA;;3- FELIUBADALO;;1,00;9,92;;0;;
;;;;;;;;;;;

ALIMENTACION-ACEITES;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
ARTICULOS - PROVEEDOR;;;;;Pagina 6 ;;;Fecha : 03/02/2026;;;
;;;;;;;;;;;
123;aceite sesamo;;3- FELIUBADALO;;3,00;4,04;;10;;
;;;;;;;;;;;

NUTRICION;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
409;ACEITE TULSI;;10012- APROLIS;;1,00;6,36;;0;;
409;ACEITE TULSI;;16- ORGANIC INDIA;;4,00;6,36;;0;;
;;;;;;;;;;;

TODAS;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
2738;ACEITE W GRANADA;;10019- WELEDA;;2,00;14,43;;0;;
;;;;;;;;;;;

ALIMENTACION;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
1307;aceitunas gigante;;7- BIOCOP;;6,00;3,74;;15;;
;;;;;;;;;;;

ALIMENTACION-CONSERVAS;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
